time,open,high,low,close,Volume
2025-03-25T04:55:00-04:00,20312.75,20314.5,20302,20303.75,619
2025-03-25T05:00:00-04:00,20303.75,20312.25,20297,20307.25,700
2025-03-25T05:05:00-04:00,20307.5,20313.75,20296.5,20298.75,730
2025-03-25T05:10:00-04:00,20298.75,20305,20297.5,20303.5,305
2025-03-25T05:15:00-04:00,20304,20308.75,20301.5,20306.25,467
2025-03-25T05:20:00-04:00,20307.25,20318,20305,20310.75,723
2025-03-25T05:25:00-04:00,20311.25,20326,20306.25,20315.75,1594
2025-03-25T05:30:00-04:00,20315.5,20328,20312,20325,2429
2025-03-25T05:35:00-04:00,20325.25,20331.25,20324,20327.25,1417
2025-03-25T05:40:00-04:00,20327.75,20331.75,20322.75,20330.25,432
2025-03-25T05:45:00-04:00,20330,20340.25,20328.75,20337.25,849
2025-03-25T05:50:00-04:00,20337.5,20345.75,20332.5,20343.25,811
2025-03-25T05:55:00-04:00,20343,20344.25,20338.75,20343.5,401
2025-03-25T06:00:00-04:00,20343,20348.75,20336.25,20336.75,628
2025-03-25T06:05:00-04:00,20336.25,20337,20329.5,20331.25,798
2025-03-25T06:10:00-04:00,20330.75,20334,20320.75,20334,859
2025-03-25T06:15:00-04:00,20334,20347.75,20334,20346.5,740
2025-03-25T06:20:00-04:00,20346.75,20369.25,20346.75,20356.25,1184
2025-03-25T06:25:00-04:00,20356,20360,20354.25,20356.5,258
2025-03-25T06:30:00-04:00,20357,20364,20355.25,20360.5,496
2025-03-25T06:35:00-04:00,20360.5,20366.5,20355,20364,531
2025-03-25T06:40:00-04:00,20363.25,20373.5,20360.25,20372.75,652
2025-03-25T06:45:00-04:00,20372.5,20383,20370,20376.5,1228
2025-03-25T06:50:00-04:00,20376.5,20377,20368.75,20372,461
2025-03-25T06:55:00-04:00,20371.25,20377.75,20367.25,20374.5,646
2025-03-25T07:00:00-04:00,20373.75,20396,20373.25,20382,1208
2025-03-25T07:05:00-04:00,20381.5,20385.5,20364,20368.25,1276
2025-03-25T07:10:00-04:00,20368.5,20380.5,20368.25,20374,1459
2025-03-25T07:15:00-04:00,20374.5,20383.75,20367.5,20376.75,492
2025-03-25T07:20:00-04:00,20377.25,20382.5,20376.5,20377.75,317
2025-03-25T07:25:00-04:00,20377.75,20386.25,20374,20385.5,443
2025-03-25T07:30:00-04:00,20386,20393,20378,20390.5,613
2025-03-25T07:35:00-04:00,20390.75,20395,20388,20388.75,737
2025-03-25T07:40:00-04:00,20389.5,20399.25,20389,20395,599
2025-03-25T07:45:00-04:00,20395,20404,20392.5,20403.5,891
2025-03-25T07:50:00-04:00,20403,20410.5,20399.25,20405.5,895
2025-03-25T07:55:00-04:00,20406,20416.5,20405.25,20411.75,1009
2025-03-25T08:00:00-04:00,20412,20419.25,20407,20411.5,1189
2025-03-25T08:05:00-04:00,20411.25,20415,20406.75,20408.5,781
2025-03-25T08:10:00-04:00,20407.25,20414,20404,20412.25,586
2025-03-25T08:15:00-04:00,20412.75,20413.5,20406.25,20410.75,560
2025-03-25T08:20:00-04:00,20411,20414,20405,20412,635
2025-03-25T08:25:00-04:00,20412.75,20426.5,20411.25,20421.75,909
2025-03-25T08:30:00-04:00,20421.75,20447.5,20419.25,20443.75,2472
2025-03-25T08:35:00-04:00,20443,20445,20434.25,20434.25,1094
2025-03-25T08:40:00-04:00,20435,20436.5,20425.5,20427.75,989
2025-03-25T08:45:00-04:00,20427.25,20433.25,20424.25,20427,872
2025-03-25T08:50:00-04:00,20427.75,20428.25,20410.25,20412.5,1416
2025-03-25T08:55:00-04:00,20412.25,20412.75,20403.5,20407,1243
2025-03-25T09:00:00-04:00,20407,20420,20402.25,20417,1735
2025-03-25T09:05:00-04:00,20417.25,20429,20413.25,20428.75,1232
2025-03-25T09:10:00-04:00,20428.75,20434.75,20423.75,20426.5,1338
2025-03-25T09:15:00-04:00,20426.75,20431.75,20421,20421.25,999
2025-03-25T09:20:00-04:00,20421,20429.75,20418.5,20426.5,987
2025-03-25T09:25:00-04:00,20426.5,20429.25,20394.75,20401.5,3463
2025-03-25T09:30:00-04:00,20401.25,20421.5,20386,20402.5,11983
2025-03-25T09:35:00-04:00,20402.25,20406.5,20379.25,20396.5,10902
2025-03-25T09:40:00-04:00,20397.5,20429,20369,20394,11680
2025-03-25T09:45:00-04:00,20394.75,20408.5,20361.75,20373.25,8452
2025-03-25T09:50:00-04:00,20373.25,20407.25,20363.75,20401.75,6463
2025-03-25T09:55:00-04:00,20401,20423.25,20399.75,20410.75,5715
2025-03-25T10:00:00-04:00,20414.25,20440.25,20370.75,20387,9250
2025-03-25T10:05:00-04:00,20387.25,20420,20385.75,20412.25,6637
2025-03-25T10:10:00-04:00,20411,20436,20406,20425.75,6673
2025-03-25T10:15:00-04:00,20425,20442,20419.5,20425.25,5531
2025-03-25T10:20:00-04:00,20426,20437.25,20415.75,20431.5,3979
2025-03-25T10:25:00-04:00,20431,20454.75,20416.5,20453.25,6231
2025-03-25T10:30:00-04:00,20453.5,20455.75,20421.75,20433.75,5940
2025-03-25T10:35:00-04:00,20433.75,20465,20432.5,20462.5,5195
2025-03-25T10:40:00-04:00,20462.5,20481,20459.25,20480.25,5647
2025-03-25T10:45:00-04:00,20480.25,20488.5,20473.75,20474.5,5394
2025-03-25T10:50:00-04:00,20475,20491,20470.75,20479,5343
2025-03-25T10:55:00-04:00,20478.75,20488,20461.25,20476.75,5653
2025-03-25T11:00:00-04:00,20476,20494.25,20472.5,20477,4758
2025-03-25T11:05:00-04:00,20477.5,20495.25,20477,20489,3324
2025-03-25T11:10:00-04:00,20488.75,20491.25,20474.5,20480,3275
2025-03-25T11:15:00-04:00,20480.25,20485,20470.75,20479,3600
2025-03-25T11:20:00-04:00,20479.5,20483.5,20465.5,20479.25,3254
2025-03-25T11:25:00-04:00,20479.25,20486.25,20473.25,20475.25,2338
2025-03-25T11:30:00-04:00,20475.5,20478.25,20456.5,20466.25,4468
2025-03-25T11:35:00-04:00,20466.5,20468.25,20453.25,20460.25,3954
2025-03-25T11:40:00-04:00,20459.75,20465.25,20449.5,20464.5,3295
2025-03-25T11:45:00-04:00,20464.25,20466.75,20447.5,20457,3594
2025-03-25T11:50:00-04:00,20457.5,20464.25,20441.5,20442,3938
2025-03-25T11:55:00-04:00,20441.5,20449.5,20432.25,20442.5,4593
2025-03-25T12:00:00-04:00,20442.75,20454.75,20438,20444,4714
2025-03-25T12:05:00-04:00,20444.75,20451.5,20435,20449.5,3422
2025-03-25T12:10:00-04:00,20450,20459.25,20442.5,20451.5,3601
2025-03-25T12:15:00-04:00,20450.75,20450.75,20427.75,20434.5,3850
2025-03-25T12:20:00-04:00,20435.75,20451,20432.5,20447.75,3551
2025-03-25T12:25:00-04:00,20447.5,20449,20430,20431.75,3050
2025-03-25T12:30:00-04:00,20432.25,20438,20417.5,20424.25,5420
2025-03-25T12:35:00-04:00,20423.75,20435,20420,20430.25,3548
2025-03-25T12:40:00-04:00,20430.25,20445.5,20427.5,20441.25,3031
2025-03-25T12:45:00-04:00,20441.75,20448.25,20432.75,20440.75,2730
2025-03-25T12:50:00-04:00,20440.75,20461.25,20438.25,20458.25,3856
2025-03-25T12:55:00-04:00,20458.25,20461,20444.25,20450,3351
2025-03-25T13:00:00-04:00,20450.25,20470.75,20449.75,20468.25,3510
2025-03-25T13:05:00-04:00,20468.75,20480,20466.75,20477.25,2806
2025-03-25T13:10:00-04:00,20477.5,20478,20456.5,20458.25,3449
2025-03-25T13:15:00-04:00,20458.25,20460,20440.25,20441.5,3976
2025-03-25T13:20:00-04:00,20441.5,20447.5,20429.5,20433,3860
2025-03-25T13:25:00-04:00,20433,20433,20402,20409.25,5461
2025-03-25T13:30:00-04:00,20409,20422.25,20408,20420,4003
2025-03-25T13:35:00-04:00,20419.75,20428,20414.25,20416.5,3082
2025-03-25T13:40:00-04:00,20416.75,20428.5,20412.25,20425,2851
2025-03-25T13:45:00-04:00,20424.75,20428.25,20416,20419.25,2771
2025-03-25T13:50:00-04:00,20419,20422.25,20410,20420.75,2803
2025-03-25T13:55:00-04:00,20419.75,20427.75,20410,20414.25,2791
2025-03-25T14:00:00-04:00,20414.25,20418,20406.25,20415.75,3225
2025-03-25T14:05:00-04:00,20415,20427.25,20402.75,20425,4415
2025-03-25T14:10:00-04:00,20425.75,20441.25,20423.75,20440,3838
2025-03-25T14:15:00-04:00,20439.75,20449,20430.75,20445.75,4032
2025-03-25T14:20:00-04:00,20446,20457.25,20444.75,20446.25,3598
2025-03-25T14:25:00-04:00,20446.25,20447.5,20429.25,20433.75,3389
2025-03-25T14:30:00-04:00,20434.25,20441,20424.25,20434.5,4014
2025-03-25T14:35:00-04:00,20435,20439.75,20425.25,20428,2268
2025-03-25T14:40:00-04:00,20428.5,20431.75,20415.75,20425.5,3068
2025-03-25T14:45:00-04:00,20425.5,20433.5,20415.5,20416.5,2804
2025-03-25T14:50:00-04:00,20416.25,20431.5,20412,20427.75,3893
2025-03-25T14:55:00-04:00,20427.5,20435.25,20422.5,20427.75,2369
2025-03-25T15:00:00-04:00,20427.5,20446,20425,20441.25,3116
2025-03-25T15:05:00-04:00,20441.25,20449.5,20436,20445.75,2948
2025-03-25T15:10:00-04:00,20445.5,20453.5,20427.25,20433.5,4325
2025-03-25T15:15:00-04:00,20433.25,20443,20426.25,20441.5,2975
2025-03-25T15:20:00-04:00,20441.25,20452,20436.5,20450.75,2222
2025-03-25T15:25:00-04:00,20450.75,20452.25,20437.5,20437.75,2397
2025-03-25T15:30:00-04:00,20437.5,20456.75,20437,20455.25,3668
2025-03-25T15:35:00-04:00,20455.25,20467.5,20450,20458.5,5412
2025-03-25T15:40:00-04:00,20458.75,20469.25,20457,20465,3385
2025-03-25T15:45:00-04:00,20465,20487,20461.75,20482.75,5198
2025-03-25T15:50:00-04:00,20482.75,20492.75,20462,20482,8524
2025-03-25T15:55:00-04:00,20481.5,20492.75,20475.5,20487.75,12836
2025-03-25T16:00:00-04:00,20488,20503.5,20486.75,20501,6401
2025-03-25T16:05:00-04:00,20501.5,20510,20498.25,20505,1851
2025-03-25T16:10:00-04:00,20504.5,20507.25,20500,20502.75,1334
2025-03-25T16:15:00-04:00,20503,20512.5,20502.75,20510.25,872
2025-03-25T16:20:00-04:00,20510.5,20512.75,20506.75,20511.25,676
2025-03-25T16:25:00-04:00,20511,20520.25,20510.5,20518.25,1085
2025-03-25T16:30:00-04:00,20518,20519.25,20515.5,20518.5,492
2025-03-25T16:35:00-04:00,20518.25,20524.75,20517.5,20522.5,627
2025-03-25T16:40:00-04:00,20521.75,20522,20517.5,20519,511
2025-03-25T16:45:00-04:00,20518.75,20520.75,20515.5,20516.75,482
2025-03-25T16:50:00-04:00,20516.5,20517.25,20514.75,20514.75,346
2025-03-25T16:55:00-04:00,20514.5,20519.25,20512,20517.25,579
2025-03-25T18:00:00-04:00,20511.5,20518.5,20508,20513.75,593
2025-03-25T18:05:00-04:00,20514.75,20522.5,20511.75,20518.25,426
2025-03-25T18:10:00-04:00,20519.25,20531.5,20517,20517,611
2025-03-25T18:15:00-04:00,20517.25,20519.25,20513.5,20515,228
2025-03-25T18:20:00-04:00,20515.75,20516,20511.75,20513.25,253
2025-03-25T18:25:00-04:00,20513.5,20513.75,20510,20512,160
2025-03-25T18:30:00-04:00,20512,20513.25,20510,20510.5,124
2025-03-25T18:35:00-04:00,20510.25,20512.75,20507.5,20507.5,332
2025-03-25T18:40:00-04:00,20509,20509.5,20504,20509,278
2025-03-25T18:45:00-04:00,20508.75,20511.25,20506.5,20510,166
2025-03-25T18:50:00-04:00,20509.75,20513.75,20509.75,20511,200
2025-03-25T18:55:00-04:00,20511.25,20513.5,20508,20508.75,167
2025-03-25T19:00:00-04:00,20508.75,20516.75,20508.75,20513,315
2025-03-25T19:05:00-04:00,20513.5,20515.5,20512,20514,101
2025-03-25T19:10:00-04:00,20515.5,20516.75,20511.75,20515,129
2025-03-25T19:15:00-04:00,20515,20516,20512.75,20512.75,111
2025-03-25T19:20:00-04:00,20512.75,20515.25,20511,20514.5,109
2025-03-25T19:25:00-04:00,20514.5,20518,20514,20516.25,113
2025-03-25T19:30:00-04:00,20516.25,20518.25,20511.25,20516,176
2025-03-25T19:35:00-04:00,20516.75,20520.25,20515,20519.75,139
2025-03-25T19:40:00-04:00,20519.5,20523.5,20518.75,20522.5,153
2025-03-25T19:45:00-04:00,20522,20534,20520.75,20528,586
2025-03-25T19:50:00-04:00,20527.5,20529.75,20524,20526,204
2025-03-25T19:55:00-04:00,20525.75,20526,20521.5,20523.5,237
2025-03-25T20:00:00-04:00,20524,20524.75,20512.25,20513.5,314
